Identifier_ID,Identifier_Name,Instance_Type,Instance_Class,vCPUs,Memory_GiB,Instance_Specs_Storage_GiB,Engine_Version,ArchitectureType,Max_Supported_Connections,Used_Memory,Bandwidth_MBps,Connection_Domain,Zone_Id,Instance_Status,Create_Time,End_Time,Network_Type,Vpc_Id,Min_CPU_Util,Max_CPU_Util,Avg_CPU_Util,P95_CPU_Util,Min_Mem_Util,Max_Mem_Util,Avg_Mem_Util,P95_Mem_Util,Min_Connections,Max_Connections,Avg_Connections,P95_Connections,Environment,Tags
m-gs58d1d563acb6d4,gcfund_sit_velocity,Memcache,memcache.master.mid.default,0,2.0,2048,4.0,standard,10000,0,16,m-gs58d1d563acb6d4.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2024-03-15T17:20:01Z,2025-12-07T16:00:00Z,VPC,vpc-t4n8mqqi2vvec8658xmnd,0.085,0.132,0.10408771929824562,0.125,1.942,1.943,1.9421929824561404,1.943,0.029,0.03,0.029561403508771927,0.03,sit,platform=saas;environment_group=nonprod;environment=sit;project=;component=gcfund;tribe=funds;squad=p2p_and_padala
m-gs5576f4efcfa4e4,default-master-dev,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs5576f4efcfa4e4.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2020-01-02T03:35:19Z,2025-12-23T16:00:00Z,VPC,vpc-t4n46c0q856vpktj8p0n1,0.106,0.153,0.12491228070175438,0.143,2.035,2.037,2.036017543859649,2.037,0.985,1.002,0.9902105263157894,0.99,dev,environment=dev;platform=saas;environment_group=nonprod;project=;tribe=shared;squad=shared;component=master
m-gs5d5fe7a6875cc4,default-master-test,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs5d5fe7a6875cc4.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2020-03-31T13:28:55Z,2025-12-23T16:00:00Z,VPC,vpc-t4nmu2kb9ypp8tvgrwvrk,0.096,0.166,0.1342280701754386,0.16,2.066,2.068,2.0673508771929825,2.068,0.598,0.603,0.6015087719298244,0.603,test,platform=saas;environment_group=nonprod;project=;tribe=shared;squad=shared;component=master;environment=test
m-gs55b1d5ba0afc94,savePaymethodMemCache,Memcache,memcache.master.small.default,0,1.0,1024,4.0,standard,10000,0,10,m-gs55b1d5ba0afc94.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-07-11T07:26:20Z,2025-12-06T16:00:00Z,VPC,vpc-t4nmu2kb9ypp8tvgrwvrk,0.053,0.089,0.07512280701754386,0.089,3.88,3.883,3.8811052631578944,3.882,0.015,0.02,0.0193859649122807,0.02,,
m-gs534e994309b954,dlaqz1,Memcache,memcache.master.small.default,0,1.0,1024,2.8,standard,10000,0,10,m-gs534e994309b954.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2020-04-16T03:13:59Z,2025-12-23T16:00:00Z,VPC,vpc-t4nrxu6b7ehexsxg86yim,0.083,0.125,0.10480701754385965,0.124,3.764,3.767,3.765035087719298,3.766,0.009,0.01,0.009947368421052632,0.01,test,tribe=data;environment_group=nonprod;platform=paas;project=;environment=test;component=dlaqz;squad=data_mgt_operations
m-gs53f85060b18a24,apdecision,Memcache,memcache.master.small.default,0,1.0,1024,4.0,standard,10000,0,10,m-gs53f85060b18a24.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2024-10-11T07:04:21Z,2025-12-06T16:00:00Z,VPC,vpc-t4n46c0q856vpktj8p0n1,0.345,0.446,0.3939824561403509,0.429,3.921,3.983,3.956614035087719,3.9802,0.126,0.13,0.1288421052631579,0.13,dev,environment=dev;component=apdecision;platform=saas;environment_group=nonprod;tribe=b2c;project=asap;squad=asap
m-gs506ee637adc834,default-slave-test,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs506ee637adc834.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2020-03-31T13:28:59Z,2025-12-23T16:00:00Z,VPC,vpc-t4nmu2kb9ypp8tvgrwvrk,0.089,0.134,0.10817543859649122,0.124,1.934,1.935,1.9344912280701754,1.935,0.538,0.543,0.5414210526315789,0.543,test,platform=saas;environment_group=nonprod;project=;tribe=shared;squad=shared;component=slave;environment=test
m-gs50889633f34f64,aptrafficcenter-prod,Memcache,memcache.sharding.mid.default,0,32.0,32768,4.0,cluster,480000,0,192,m-gs50889633f34f64.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2025-02-13T12:32:01Z,2025-12-15T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
m-gs552fc40d7d3614,acquireprodCommonCache,Memcache,memcache.master.small.default,0,1.0,1024,2.8,standard,10000,0,10,m-gs552fc40d7d3614.memcache.singapore.rds.aliyuncs.com,ap-southeast-1b,Normal,2020-09-27T03:35:00Z,2025-12-23T16:00:00Z,VPC,vpc-t4n46c0q856vpktj8p0n1,0.089,0.142,0.1156140350877193,0.133,3.764,3.767,3.765017543859649,3.766,0.009,0.01,0.009894736842105263,0.01,dev,environment=dev;platform=saas;environment_group=nonprod;project=;tribe=b2c;component=acquireprod;squad=bills_pay
m-gs599c58cf46c934,paas_nonprod_sit_3_0_memcache,Memcache,memcache.master.stand.default,0,4.0,4096,4.0,standard,10000,0,24,m-gs599c58cf46c934.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2024-10-09T03:36:01Z,2025-12-09T16:00:00Z,VPC,vpc-t4nheeaceku88sh53vvpp,0.107,0.153,0.1260877192982456,0.142,1.055,1.056,1.055017543859649,1.055,0.055,0.06,0.058824561403508766,0.06,sit,component=paas_3_0;project=afap;environment_group=nonprod;tribe=technology;squad=enterprise_architecture;platform=paas;environment=sit
