Identifier_ID,Identifier_Name,Instance_Type,Operating_System,Region_Id,Zone_Id,Status,Creation_Time,vCPUs,Memory_GB,CPUutil,Min_CPU_Util,Max_CPU_Util,avg_CPU_Util,P95_CPU,memory_used_util,Min_Mem_Util,Max_Mem_Util,avg_Mem_Util,P95_Mem,diskusage_util,Min_Disk_Util,Max_Disk_Util,avg_Disk_Util,P95_Disk,networkin_rate,networkout_rate,Environment,Tags
i-t4n9vpwc69klwfxc722f,approdcenter-1-170,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8305666666666666,0.729,0.957,0.8305666666666666,0.93205,3.5773559322033894,3.56,3.59,3.5773559322033894,3.59,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4ninmhyuz5oz1uzauga,approdcenter-1-163,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8091000000000002,0.696,1.002,0.8091000000000002,0.9236499999999999,3.5988644067796614,3.58,3.62,3.5988644067796614,3.61,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4ne8lbdkgha1veh8gv5,approdcenter-1-167,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8220666666666665,0.657,1.315,0.8220666666666665,1.15815,3.4971694915254243,3.48,3.52,3.4971694915254243,3.51,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nadrlr0crmbyy95pdd,approdcenter-1-165,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7564576271186441,0.596,1.031,0.7564576271186441,0.8602,3.6287796610169494,3.6,3.65,3.6287796610169494,3.65,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n5dftsmsy2j0mhtdbj,approdcenter-1-150,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.6480508474576271,0.526,0.908,0.6480508474576271,0.8554999999999999,3.5311355932203394,3.51,3.55,3.5311355932203394,3.55,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nfc7wh90i2k2uxiabc,approdcenter-2-143,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1b,Running,2025-11-21T05:38Z,4,8.0,17.79395,16.417,21.327,17.79395,18.88345,74.3382033898305,73.89,74.57,74.3382033898305,74.56,55.21571186440678,54.27,56.16,55.21571186440678,56.063,0.0,0.0,,
i-t4n5dftsmsy2j0mhtdbl,approdcenter-1-166,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.6780714285714284,0.592,0.82,0.6780714285714284,0.78325,3.9199830508474576,3.9,3.94,3.9199830508474576,3.94,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n2bomgvxr0zxqesoow,approdcenter-2-136,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1b,Running,2025-11-21T02:14Z,4,8.0,18.386310344827585,16.612,21.452,18.386310344827585,19.549349999999997,75.37561016949154,74.97,75.69,75.37561016949154,75.66,55.53684745762711,54.61,56.41,55.53684745762711,56.381,0.0,0.0,,
i-t4n7jhh53xp3sffqyrf4,approdcenter-1-153,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7705000000000001,0.658,0.921,0.7705000000000001,0.8595499999999999,3.708406779661017,3.69,3.73,3.708406779661017,3.73,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nj7d1vw2za63xbd4j7,approdcenter-1-146,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7524745762711864,0.604,0.974,0.7524745762711864,0.9084,3.6919661016949146,3.65,3.72,3.6919661016949146,3.71,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4ndsd83vidi8hurawmj,approdcenter-1-151,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7631052631578947,0.662,0.954,0.7631052631578947,0.8952,3.6217796610169493,3.6,3.64,3.6217796610169493,3.64,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n6l2siew45xjqmf3mb,approdcenter-2-148,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1b,Running,2025-11-21T05:38Z,4,8.0,20.08083333333333,18.681,22.995,20.08083333333333,21.722099999999998,75.71277966101695,75.28,76.04,75.71277966101695,76.01,55.23227118644067,54.33,56.13,55.23227118644067,56.043,0.0,0.0,,
i-t4n3ubpvauust3nreeha,approdcenter-1-145,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8399655172413794,0.762,0.992,0.8399655172413794,0.9246500000000001,3.6978813559322035,3.66,3.71,3.6978813559322035,3.71,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nfggxko07rtlo7cb80,approdcenter-1-173,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8249999999999998,0.69,1.002,0.8249999999999998,0.9535999999999999,3.480169491525424,3.45,3.5,3.480169491525424,3.5,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n411yaoc2zfa9r0yqc,gcbizadmin-1-1,ecs.c5.large,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-24T04:00Z,2,4.0,1.523610169491525,1.259,2.076,1.523610169491525,1.9137,27.775322033898302,27.75,27.81,27.775322033898302,27.8,7.079999999999998,7.08,7.08,7.079999999999998,7.08,0.0,0.0,,
i-t4nfiy1fda2p04tmw3ua,gcashprod.appecs.4c8g010075084092.sgp1b,ecs.c8i.xlarge,Alibaba Cloud Linux  3.2104 LTS 64 bit UEFI Edition,ap-southeast-1,ap-southeast-1b,Running,2025-11-28T11:33Z,4,8.0,10.292482758620691,9.781,11.015,10.292482758620691,10.4872,36.7092372881356,36.57,36.87,36.7092372881356,36.82,31.58560169491526,2.88,60.64,31.58560169491526,60.5715,0.0,0.0,,provider=app;net_env=tmc
i-t4n5bmpocv6u11xa227b,approdcenter-1-152,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.738,0.638,1.002,0.738,0.8930999999999999,3.9873898305084747,3.97,4.01,3.9873898305084747,4.001,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n45uc8d7w5fcc2rqwq,approdcenter-1-172,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8016785714285716,0.612,1.078,0.8016785714285716,0.93225,3.7252542372881354,3.7,3.75,3.7252542372881354,3.741,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n04hy9v06kkk0f1x69,approdcenter-1-156,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7443000000000001,0.621,1.137,0.7443000000000001,0.9700999999999997,3.7146101694915257,3.69,3.73,3.7146101694915257,3.73,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nhhkxxvnt9v3vfofin,approdcenter-1-154,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7368,0.641,0.873,0.7368,0.853,3.6429152542372885,3.63,3.67,3.6429152542372885,3.66,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nbk2kcmu5ein6ni6jf,approdcenter-1-159,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7293166666666668,0.666,0.845,0.7293166666666668,0.8206499999999999,3.6702372881355934,3.65,3.69,3.6702372881355934,3.68,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nh0y2b6e0ymozwn7rq,gcashnonprod.appecs.32c126g010072040211.sgp1a,ecs.g8i.8xlarge,CentOS_64,ap-southeast-1,ap-southeast-1a,Running,2025-11-26T07:52Z,32,128.0,1.8348666666666666,1.681,3.377,1.8348666666666666,1.9607499999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,provider=app;net_env=ats_gcashnonprod
i-t4n5dftsmsy2j0mhtdbk,approdcenter-1-157,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7746949152542373,0.695,0.878,0.7746949152542373,0.8585999999999999,3.4981379310344827,3.48,3.52,3.4981379310344827,3.5115,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n9yuue4szn5l78h8ca,python-notebook-2,ecs.c5.8xlarge,CentOS  7.4 64 bit,ap-southeast-1,ap-southeast-1b,Running,2025-11-25T13:33Z,32,64.0,2.0578999999999996,0.456,4.428,2.0578999999999996,4.05235,19.871627118644064,19.32,20.99,19.871627118644064,20.677,45.13910169491524,45.13,45.14,45.13910169491524,45.14,0.0,0.0,ctu,component=python_notebook;environment=ctu;squad=data_mgt_operations;environment_group=prod;tribe=data;platform=daas
i-t4nibqxq0262n4evt289,approdcenter-2-146,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1b,Running,2025-11-21T05:38Z,4,8.0,18.490166666666664,17.067,21.062,18.490166666666664,20.0248,75.22020338983052,74.86,75.51,75.22020338983052,75.48,55.381508474576265,54.43,56.33,55.381508474576265,56.243,0.0,0.0,,
i-t4nb0l0fleni2bwnd1yq,approdcenter-1-161,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8147457627118644,0.745,0.965,0.8147457627118644,0.8816999999999999,3.695508474576271,3.68,3.72,3.695508474576271,3.71,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nhb1w9rqsa9g2chy2t,approdcenter-1-175,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.6900666666666667,0.567,0.853,0.6900666666666667,0.80725,3.6687288135593223,3.65,3.69,3.6687288135593223,3.69,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n8uycvlxy6ve9wnsxj,approdcenter-1-171,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.7239322033898304,0.595,0.837,0.7239322033898304,0.8205999999999999,3.6155254237288137,3.59,3.64,3.6155254237288137,3.63,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4n53xizfxmm78wmnaj1,approdcenter-1-149,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8336779661016949,0.754,0.969,0.8336779661016949,0.9204,3.6441525423728813,3.62,3.66,3.6441525423728813,3.66,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
i-t4nhe9x26t7pigyuer5x,approdcenter-2-145,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1b,Running,2025-11-21T05:38Z,4,8.0,19.026694915254236,17.774,21.188,19.026694915254236,20.1892,75.42349152542373,75.03,75.7,75.42349152542373,75.66199999999999,55.12552542372882,54.2,56.06,55.12552542372882,55.963,0.0,0.0,,
i-t4n2z8xa6vb2tqm9sv4u,approdcenter-1-169,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,1.3289152542372882,1.225,1.467,1.3289152542372882,1.4327999999999999,3.9455084745762714,3.92,3.98,3.9455084745762714,3.97,2.85,2.85,2.85,2.85,2.85,0.0,0.0,,
i-t4nc9f0n4takqd39nw4f,approdcenter-1-144,ecs.c5.xlarge,CentOS  6.9 64 bit,ap-southeast-1,ap-southeast-1a,Running,2025-11-21T02:41Z,4,8.0,0.8086000000000001,0.677,1.077,0.8086000000000001,0.95705,3.632033898305085,3.61,3.65,3.632033898305085,3.65,2.6500000000000004,2.65,2.65,2.6500000000000004,2.65,0.0,0.0,,
