Identifier_Name,Instance_Description,Instance_Type,Instance_Class,Category(Edition),Region_Id,Zone_Id,Engine,Engine_Version,Status,vCPUs,Memory_GB,Creation_Date,Instance_Specs_Storage_GB,CPU_Util,Min_CPU_Util,Max_CPU_Util,average_CPU_Util,P95_CPU,MEM_Util,Min_Mem_Util,Max_Mem_Util,average_Mem_Util,P95_Mem,DISK_Usage,Max_connections,Max_supported_connections,Environment,Tags
rm-gs589wipl23r7jp7k,smile-to-pay-uat,Primary,mysql.n2.medium.1,Basic,ap-southeast-1,ap-southeast-1b,MySQL,8.0,Running,2,4.0,2025-06-03T09:06:37Z,200,0.28152542372881356,0.263,0.307,0.28152542372881356,0.28739999999999993,4.568677966101696,4.546,4.585,4.568677966101696,4.5801,1.9851016949152547,0,1000,,
rm-gs5ah5zhy77gh05gm,paas-02-restore-07-17-2024,Primary,mysql.x8.medium.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,16.0,2024-07-24T04:40:03Z,250,0.2699491525423729,0.262,0.316,0.2699491525423729,0.275,5.560169491525423,5.559,5.561,5.560169491525423,5.561,3.566542372881356,0,4000,,
rm-gs5sw7hv1crr00985,dsocdb_prod,Primary,rds.mysql.c2.xlarge,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,16,64.0,2025-07-26T17:21:47Z,8000,0.5104406779661017,0.486,0.546,0.5104406779661017,0.5272,72.7479661016949,72.747,72.749,72.7479661016949,72.749,19.26288135593221,0,16000,,
rm-gs5n731p71znm655c,dev-shared,Primary,rds.mysql.c1.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,8,16.0,2023-09-22T03:34:25Z,300,0.046135593220338986,0.041,0.054,0.046135593220338986,0.052,8.03986440677966,8.036,8.045,8.03986440677966,8.0441,49.98950847457627,0,4000,,
rm-gs5i80r7i6a20n410,smile-to-pay-test,Primary,mysql.n2.medium.1,Basic,ap-southeast-1,ap-southeast-1b,MySQL,8.0,Running,2,4.0,2024-09-24T11:29:06Z,200,0.27893220338983055,0.266,0.295,0.27893220338983055,0.28739999999999993,14.517559322033897,14.507,14.528,14.517559322033897,14.524099999999999,2.5569661016949152,0,1000,,
rm-gs5qyh0m44m5b63j0,smile-to-pay-production,Primary,mysql.x2.large.2c,HighAvailability,ap-southeast-1,ap-southeast-1b,MySQL,8.0,Running,4,8.0,2024-11-06T13:24:14Z,500,0.21781355932203392,0.208,0.229,0.21781355932203392,0.225,36.22771186440678,36.196,36.261,36.22771186440678,36.2502,0.8097457627118646,0,2000,,
rm-gs5z05aq6xydz8u2m,rds-mysql-paas-3-tools,Primary,mysql.x4.medium.2c,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.7,Running,2,8.0,2024-08-14T03:07:48Z,600,0.3910677966101694,0.374,0.441,0.3910677966101694,0.4241,91.32722033898304,91.293,91.353,91.32722033898304,91.3472,4.11550847457627,0,2000,,
rm-gs574afzpl9642syo,dsocdb-sit_clone,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,4,8.0,2025-07-26T11:09:25Z,100,0.27615254237288134,0.269,0.283,0.27615254237288134,0.2803,6.025474576271187,6.02,6.03,6.025474576271187,6.029,4.3686779661016955,0,2000,,
rm-gs565d832209271j8,,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,ap-southeast-1b,MySQL,5.6,Running,2,4.0,2025-10-14T01:28:05Z,100,0.8853389830508475,0.855,0.927,0.8853389830508475,0.905,4.357016949152543,4.355,4.359,4.357016949152543,4.359,3.9853898305084745,0,1000,,
rm-gs5667gt3a974ryvn,,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,2,4.0,2022-08-30T08:30:23Z,100,1.4285932203389828,1.258,2.966,1.4285932203389828,2.1743999999999954,34.1935593220339,34.186,34.201,34.1935593220339,34.1991,16.283677966101695,0,1000,,
